gene_id	transcript_id(s)	AtlanticSalmon_RNA_Gill_Immature_Female_R1	AtlanticSalmon_RNA_Gill_Immature_Female_R2	AtlanticSalmon_RNA_Gill_Immature_Female_R3	AtlanticSalmon_RNA_Gill_Immature_Male_R1	AtlanticSalmon_RNA_Gill_Immature_Male_R2	AtlanticSalmon_RNA_Gill_Immature_Male_R3	AtlanticSalmon_RNA_Gill_Mature_Female_R1	AtlanticSalmon_RNA_Gill_Mature_Female_R2	AtlanticSalmon_RNA_Gill_Mature_Female_R3	AtlanticSalmon_RNA_Gill_Mature_Male_R1	AtlanticSalmon_RNA_Gill_Mature_Male_R2	AtlanticSalmon_RNA_Gill_Mature_Male_R3
ENSSSAG00000000328	ENSSSAT00000000642,ENSSSAT00000000646,ENSSSAT00000000652,ENSSSAT00000000661	11.86	25.84	19.49	17.66	22.74	19.74	16.68	26.45	19.80	32.64	24.44	22.53
ENSSSAG00000000333	ENSSSAT00000000568	6.20	4.22	6.83	7.82	6.14	10.41	3.78	4.76	6.31	3.92	3.43	6.99
ENSSSAG00000000335	ENSSSAT00000000584,ENSSSAT00000161920,ENSSSAT00000249448	1.33	2.15	1.16	2.26	3.39	1.34	2.40	3.29	3.77	2.40	1.81	2.34
ENSSSAG00000000345	ENSSSAT00000000592,ENSSSAT00000162838	0.07	0.11	0.13	0.07	0.03	0.10	0.00	0.00	0.00	0.00	0.07	0.00
ENSSSAG00000000346	ENSSSAT00000000598	20.80	22.19	20.75	24.78	22.25	17.95	23.85	23.65	23.70	23.13	27.43	15.94
ENSSSAG00000000347	ENSSSAT00000000595	0.25	0.26	0.11	0.15	0.07	0.11	0.08	0.28	0.19	0.17	0.21	0.09
ENSSSAG00000000349	ENSSSAT00000000602,ENSSSAT00000157177,ENSSSAT00000195282,ENSSSAT00000208065,ENSSSAT00000250398,ENSSSAT00000254003	6.54	8.98	7.56	6.06	6.54	5.41	4.70	11.71	6.52	6.31	6.76	7.58
ENSSSAG00000000352	ENSSSAT00000000727,ENSSSAT00000000777,ENSSSAT00000000797,ENSSSAT00000000806,ENSSSAT00000000820,ENSSSAT00000000831,ENSSSAT00000129445,ENSSSAT00000129633	55.77	59.91	57.96	52.23	50.86	57.05	58.21	65.04	56.18	65.09	55.35	85.79
ENSSSAG00000000357	ENSSSAT00000000617	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000000358	ENSSSAT00000000624,ENSSSAT00000233100	1.12	0.00	0.00	0.00	0.00	1.41	0.00	0.00	0.00	3.93	0.00	0.00
ENSSSAG00000000360	ENSSSAT00000000618	107.29	91.73	115.85	115.45	100.78	140.58	86.56	114.50	99.89	117.30	111.86	104.13
ENSSSAG00000000362	ENSSSAT00000000621	0.47	0.68	0.93	0.58	0.38	0.39	0.90	0.66	0.46	0.98	0.91	0.62
ENSSSAG00000000363	ENSSSAT00000000625,ENSSSAT00000000632	31.29	28.26	32.10	27.89	26.01	27.29	22.98	26.67	26.30	23.35	23.85	25.27
ENSSSAG00000000364	ENSSSAT00000000631,ENSSSAT00000000643,ENSSSAT00000000650,ENSSSAT00000000658,ENSSSAT00000000667,ENSSSAT00000149913,ENSSSAT00000193946	48.17	53.26	58.46	43.69	44.61	36.05	40.71	49.49	39.56	51.23	48.02	53.21
ENSSSAG00000000368	ENSSSAT00000000766,ENSSSAT00000000770,ENSSSAT00000000774,ENSSSAT00000000781,ENSSSAT00000000793,ENSSSAT00000000801	10.87	12.01	12.05	11.09	12.39	11.11	12.86	13.39	13.65	10.72	11.07	10.72
ENSSSAG00000000371	ENSSSAT00000000636,ENSSSAT00000000649,ENSSSAT00000000664	7.13	6.62	8.88	5.77	7.67	7.91	6.77	6.34	8.43	6.95	5.75	5.44
ENSSSAG00000000375	ENSSSAT00000000647	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000000376	ENSSSAT00000000682	11.64	9.21	7.10	9.12	11.51	7.69	12.34	9.07	11.71	13.55	9.66	12.10
ENSSSAG00000000377	ENSSSAT00000000644	1.19	1.64	2.01	0.50	1.12	2.87	1.80	2.26	1.69	1.50	1.61	2.90
ENSSSAG00000000378	ENSSSAT00000057964,ENSSSAT00000182182,ENSSSAT00000206494	0.11	0.42	0.39	0.18	0.00	0.45	0.14	0.19	0.07	0.13	0.14	0.40
ENSSSAG00000000380	ENSSSAT00000000651,ENSSSAT00000000671,ENSSSAT00000000690,ENSSSAT00000000714,ENSSSAT00000000739,ENSSSAT00000000755,ENSSSAT00000202154,ENSSSAT00000232928	1.54	2.53	4.53	1.95	2.19	2.13	1.87	1.69	5.40	1.39	1.42	1.99
ENSSSAG00000000381	ENSSSAT00000000655	4.07	3.63	6.28	2.73	3.29	4.56	4.14	2.71	5.44	6.65	4.47	4.24
ENSSSAG00000000382	ENSSSAT00000000807,ENSSSAT00000000810,ENSSSAT00000000815,ENSSSAT00000000834	12.70	13.74	14.63	10.08	12.47	13.56	10.99	13.93	12.13	11.52	9.37	13.41
ENSSSAG00000000384	ENSSSAT00000000657	0.09	0.07	0.00	0.07	0.03	0.03	0.03	0.00	0.07	0.13	0.03	0.03
ENSSSAG00000000385	ENSSSAT00000000696,ENSSSAT00000000701,ENSSSAT00000000702,ENSSSAT00000000707,ENSSSAT00000127788,ENSSSAT00000127792,ENSSSAT00000167631,ENSSSAT00000168343,ENSSSAT00000191195	46.57	69.00	66.25	43.33	61.59	50.28	59.99	77.04	61.62	49.75	49.50	84.97
ENSSSAG00000000387	ENSSSAT00000000669,ENSSSAT00000000676,ENSSSAT00000000681,ENSSSAT00000166478,ENSSSAT00000184911,ENSSSAT00000191929,ENSSSAT00000197431,ENSSSAT00000224816	6.31	4.51	6.76	4.80	4.24	9.78	3.29	4.89	7.16	3.76	4.07	9.00
ENSSSAG00000000388	ENSSSAT00000000715,ENSSSAT00000000726,ENSSSAT00000000731,ENSSSAT00000000741	0.00	0.27	0.19	0.00	0.00	0.00	0.21	0.00	0.03	0.02	0.00	0.00
ENSSSAG00000000389	ENSSSAT00000000670	3.11	4.89	6.27	3.34	5.83	5.54	3.96	1.74	5.52	3.43	3.23	2.51
ENSSSAG00000000391	ENSSSAT00000000683	4.31	5.94	8.09	5.20	7.07	5.79	6.03	6.84	9.17	6.52	4.73	5.11
ENSSSAG00000000392	ENSSSAT00000000493,ENSSSAT00000000679,ENSSSAT00000000688,ENSSSAT00000195534	2.76	3.31	2.43	1.67	3.22	2.52	2.55	2.77	2.11	2.04	3.21	3.33
ENSSSAG00000000395	ENSSSAT00000000691	0.67	0.78	0.25	0.49	0.22	0.50	0.32	0.46	0.96	0.83	0.50	0.90
ENSSSAG00000000398	ENSSSAT00000000687	0.48	0.34	0.97	1.04	0.41	1.10	0.39	1.28	0.33	0.17	1.21	1.64
ENSSSAG00000000399	ENSSSAT00000000709,ENSSSAT00000174640,ENSSSAT00000207668,ENSSSAT00000215035	9.18	17.80	12.18	11.31	15.37	7.01	14.38	13.22	19.02	18.45	15.24	6.01
ENSSSAG00000000402	ENSSSAT00000185913,ENSSSAT00000250314	13.11	23.34	17.62	18.64	19.93	36.62	16.75	36.61	20.96	11.30	16.31	27.79
ENSSSAG00000000403	ENSSSAT00000000703,ENSSSAT00000220269	8.74	5.10	11.58	8.73	8.87	10.21	5.66	7.08	6.96	6.39	7.04	8.16
ENSSSAG00000000404	ENSSSAT00000000704,ENSSSAT00000001111,ENSSSAT00000248164	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.04	0.00
ENSSSAG00000000406	ENSSSAT00000000729,ENSSSAT00000000753,ENSSSAT00000000786,ENSSSAT00000000819,ENSSSAT00000157779	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000000408	ENSSSAT00000000712	4.31	4.69	1.23	4.59	3.69	3.26	4.05	1.75	4.55	2.77	0.75	1.24
ENSSSAG00000000409	ENSSSAT00000161470,ENSSSAT00000178421,ENSSSAT00000213146,ENSSSAT00000228411	0.11	0.48	0.42	0.30	1.10	0.36	0.58	0.39	0.72	0.17	0.30	0.06
ENSSSAG00000000410	ENSSSAT00000000718,ENSSSAT00000170214,ENSSSAT00000172321,ENSSSAT00000179123,ENSSSAT00000243858	47.42	44.89	51.67	42.10	44.40	42.75	38.91	42.37	36.93	45.47	48.94	44.43
ENSSSAG00000000411	ENSSSAT00000000717	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000000413	ENSSSAT00000000723,ENSSSAT00000210810,ENSSSAT00000244652	4.72	6.90	9.85	8.68	8.51	7.03	8.19	7.16	11.84	9.16	8.46	6.93
ENSSSAG00000000414	ENSSSAT00000000719,ENSSSAT00000183520	3.52	4.65	4.74	4.00	5.51	4.03	6.29	4.29	5.45	4.37	4.16	2.99
ENSSSAG00000000415	ENSSSAT00000000720	0.17	0.07	0.17	0.34	0.21	0.07	0.25	0.07	0.27	0.19	0.03	0.07
ENSSSAG00000000423	ENSSSAT00000000764,ENSSSAT00000000832,ENSSSAT00000000879,ENSSSAT00000001134,ENSSSAT00000001147,ENSSSAT00000001184,ENSSSAT00000001241,ENSSSAT00000001249,ENSSSAT00000001287,ENSSSAT00000248576	4.90	6.16	6.82	5.63	5.86	5.45	5.97	6.17	6.94	4.99	5.32	5.91
ENSSSAG00000000424	ENSSSAT00000000754	0.00	0.26	0.25	0.13	0.13	0.49	0.00	0.12	0.14	0.25	0.25	0.26
ENSSSAG00000000425	ENSSSAT00000000749	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000000426	ENSSSAT00000000748,ENSSSAT00000170021,ENSSSAT00000175205,ENSSSAT00000194924,ENSSSAT00000202359,ENSSSAT00000233745,ENSSSAT00000250822	0.67	0.87	1.58	0.71	1.73	0.68	1.05	3.05	1.35	0.51	0.58	0.55
ENSSSAG00000000429	ENSSSAT00000000762,ENSSSAT00000169652,ENSSSAT00000171564,ENSSSAT00000241094	0.92	0.56	0.87	0.30	0.22	0.31	0.32	1.08	0.16	0.10	0.10	0.40
ENSSSAG00000000430	ENSSSAT00000000756,ENSSSAT00000000765	6.06	9.08	7.73	7.30	7.80	6.90	8.16	8.98	9.81	8.66	7.73	7.89
ENSSSAG00000000431	ENSSSAT00000000772,ENSSSAT00000000791,ENSSSAT00000051783,ENSSSAT00000053212,ENSSSAT00000158478,ENSSSAT00000165517,ENSSSAT00000176939,ENSSSAT00000190290,ENSSSAT00000191999,ENSSSAT00000250705	6.51	8.72	8.80	12.48	12.15	7.66	11.90	12.42	15.30	9.35	9.10	8.33
ENSSSAG00000000432	ENSSSAT00000000757,ENSSSAT00000019532,ENSSSAT00000166697,ENSSSAT00000202657	2.48	4.22	3.26	2.47	3.50	2.36	4.88	6.25	6.85	4.68	2.90	5.20
ENSSSAG00000000434	ENSSSAT00000000860,ENSSSAT00000000878,ENSSSAT00000000881,ENSSSAT00000000889	8.52	8.35	6.63	5.66	5.50	8.10	5.38	5.98	5.34	6.23	5.82	9.37
ENSSSAG00000000436	ENSSSAT00000000763	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000000437	ENSSSAT00000000771	5.54	5.93	3.88	3.04	4.65	4.49	4.47	3.29	3.22	3.49	2.81	4.97
ENSSSAG00000000439	ENSSSAT00000000887	0.00	0.00	0.04	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000000442	ENSSSAT00000000785,ENSSSAT00000000800,ENSSSAT00000241990	5.15	5.84	6.20	3.78	5.83	4.59	5.31	4.43	4.10	5.55	3.46	5.90
ENSSSAG00000000446	ENSSSAT00000000789,ENSSSAT00000156591,ENSSSAT00000156910,ENSSSAT00000174859,ENSSSAT00000179202,ENSSSAT00000198394	1.32	7.98	1.60	2.29	2.24	1.67	2.84	2.59	5.98	3.09	2.48	2.67
ENSSSAG00000000450	ENSSSAT00000000802	7.58	10.00	7.23	5.70	7.58	5.39	7.25	8.10	7.91	7.14	8.04	6.06
ENSSSAG00000000454	ENSSSAT00000201044,ENSSSAT00000246797	11.70	15.29	14.02	20.65	30.00	18.11	46.75	7.35	27.95	19.53	13.37	9.45
ENSSSAG00000000456	ENSSSAT00000169600,ENSSSAT00000184601,ENSSSAT00000206441	4.20	6.16	3.36	3.01	3.74	4.03	4.34	5.17	3.87	4.69	2.80	3.47
ENSSSAG00000000459	ENSSSAT00000001222,ENSSSAT00000001313,ENSSSAT00000001372,ENSSSAT00000001396,ENSSSAT00000001416,ENSSSAT00000001440,ENSSSAT00000001449,ENSSSAT00000080929,ENSSSAT00000188101,ENSSSAT00000248010	7.81	5.53	8.01	6.96	6.51	5.39	6.05	12.35	10.11	7.12	7.19	10.49
ENSSSAG00000000460	ENSSSAT00000000822,ENSSSAT00000000837,ENSSSAT00000169115,ENSSSAT00000225892,ENSSSAT00000233027	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000000467	ENSSSAT00000000950,ENSSSAT00000001014,ENSSSAT00000001064,ENSSSAT00000001080,ENSSSAT00000057387,ENSSSAT00000083457,ENSSSAT00000227011	4.08	6.05	4.90	5.34	5.55	5.19	8.43	6.16	9.24	6.47	6.67	3.58
ENSSSAG00000000468	ENSSSAT00000000846,ENSSSAT00000239055	3.69	2.78	4.12	4.03	3.66	5.47	3.19	6.86	4.71	5.41	4.49	9.09
ENSSSAG00000000470	ENSSSAT00000000839	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000000472	ENSSSAT00000001057,ENSSSAT00000001063,ENSSSAT00000001070,ENSSSAT00000001076	0.22	0.13	0.37	0.15	0.08	0.36	0.17	0.08	0.32	0.06	0.03	0.13
ENSSSAG00000000473	ENSSSAT00000000842,ENSSSAT00000000854,ENSSSAT00000000866,ENSSSAT00000175687,ENSSSAT00000176885,ENSSSAT00000228916	2.52	3.34	4.00	2.48	2.66	3.80	2.13	2.31	3.48	2.24	2.01	3.72
ENSSSAG00000000474	ENSSSAT00000000898,ENSSSAT00000000915,ENSSSAT00000000926,ENSSSAT00000000943,ENSSSAT00000000947,ENSSSAT00000000963,ENSSSAT00000000972,ENSSSAT00000000995,ENSSSAT00000001016	13.03	21.11	18.61	22.26	28.16	29.95	20.59	27.79	24.22	16.26	22.02	23.75
ENSSSAG00000000475	ENSSSAT00000000841	1.66	1.56	1.55	1.55	1.19	1.69	1.11	0.68	1.13	1.36	0.92	1.03
ENSSSAG00000000481	ENSSSAT00000000895,ENSSSAT00000001061	62.63	63.89	61.49	57.11	56.61	61.20	61.19	65.31	63.13	63.58	58.26	70.42
ENSSSAG00000000483	ENSSSAT00000000870,ENSSSAT00000000880,ENSSSAT00000178122,ENSSSAT00000191142,ENSSSAT00000247165	34.25	36.73	38.40	37.65	39.28	37.42	38.63	35.17	31.83	39.54	35.98	37.60
ENSSSAG00000000484	ENSSSAT00000000861	1.92	3.05	2.15	2.58	1.98	2.18	1.79	3.34	1.92	2.50	3.10	2.17
ENSSSAG00000000485	ENSSSAT00000000873,ENSSSAT00000221062	5.21	4.71	3.39	5.21	5.19	5.00	4.22	3.49	5.19	2.81	4.42	2.16
ENSSSAG00000000486	ENSSSAT00000001527,ENSSSAT00000001626,ENSSSAT00000001628,ENSSSAT00000001662,ENSSSAT00000001752,ENSSSAT00000001756,ENSSSAT00000001759,ENSSSAT00000150935,ENSSSAT00000150964,ENSSSAT00000230667	0.37	0.17	0.14	0.35	0.40	0.26	0.33	0.19	0.44	0.41	0.22	0.00
ENSSSAG00000000487	ENSSSAT00000000874	10.78	10.21	9.35	8.35	11.70	7.44	11.78	10.56	15.77	10.71	12.36	10.98
ENSSSAG00000000489	ENSSSAT00000000875	1.27	0.64	1.21	0.66	0.67	1.20	0.81	0.65	1.25	0.58	1.06	1.29
ENSSSAG00000000491	ENSSSAT00000000897,ENSSSAT00000237951	15.25	13.74	16.04	13.28	10.39	12.69	11.14	11.96	11.03	11.86	12.76	15.16
ENSSSAG00000000493	ENSSSAT00000000886	2.93	4.19	1.47	2.54	4.04	1.88	3.27	1.31	3.81	3.47	3.01	0.94
ENSSSAG00000000495	ENSSSAT00000000885,ENSSSAT00000211075	0.60	0.89	0.97	1.29	1.05	1.71	1.56	1.54	1.07	1.27	2.25	1.79
ENSSSAG00000000496	ENSSSAT00000000917,ENSSSAT00000000919,ENSSSAT00000000933,ENSSSAT00000000938,ENSSSAT00000170103,ENSSSAT00000215786,ENSSSAT00000220644	18.07	23.94	18.12	22.01	19.61	23.65	23.45	26.43	27.84	26.07	26.44	17.93
ENSSSAG00000000497	ENSSSAT00000000892	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000000498	ENSSSAT00000000891,ENSSSAT00000193247,ENSSSAT00000210034	2.99	2.69	3.23	2.26	2.81	3.20	2.01	2.11	4.43	2.59	2.26	2.18
ENSSSAG00000000499	ENSSSAT00000000899,ENSSSAT00000184402	0.89	1.43	1.08	1.24	1.48	1.01	1.79	1.75	1.92	1.26	1.32	1.10
ENSSSAG00000000501	ENSSSAT00000000905	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000000506	ENSSSAT00000001223,ENSSSAT00000001238,ENSSSAT00000001268,ENSSSAT00000161538,ENSSSAT00000181023,ENSSSAT00000184254,ENSSSAT00000193157,ENSSSAT00000215808,ENSSSAT00000218236,ENSSSAT00000237408	3.02	4.99	4.91	3.86	4.83	3.65	5.33	6.07	8.11	3.69	3.29	4.91
ENSSSAG00000000508	ENSSSAT00000000944,ENSSSAT00000000961,ENSSSAT00000000973,ENSSSAT00000000979,ENSSSAT00000161826	9.00	12.52	8.81	10.12	9.68	8.12	8.48	10.82	11.60	9.42	11.98	9.76
ENSSSAG00000000509	ENSSSAT00000000940,ENSSSAT00000000951	162.75	184.22	198.98	172.26	182.03	204.14	193.25	205.13	172.29	210.92	210.34	232.42
ENSSSAG00000000510	ENSSSAT00000000913	8.83	10.93	5.71	10.82	12.81	7.11	16.60	14.13	15.80	11.51	12.81	10.84
ENSSSAG00000000511	ENSSSAT00000000922,ENSSSAT00000000928,ENSSSAT00000000945,ENSSSAT00000169613	15.56	16.93	14.92	10.25	12.99	14.14	11.02	15.93	14.06	16.59	15.35	38.13
ENSSSAG00000000513	ENSSSAT00000000918,ENSSSAT00000221183	0.00	0.03	0.09	0.00	0.16	0.18	0.03	0.04	0.10	0.05	0.05	0.09
ENSSSAG00000000514	ENSSSAT00000000932,ENSSSAT00000000942,ENSSSAT00000000952,ENSSSAT00000072915	37.46	36.03	35.20	24.73	26.00	24.03	29.95	32.02	34.45	36.63	25.65	58.72
ENSSSAG00000000515	ENSSSAT00000000927	98.82	95.33	95.98	83.25	73.63	88.04	72.69	74.61	80.24	82.83	88.41	78.93
ENSSSAG00000000516	ENSSSAT00000000924	5.50	6.21	5.14	5.55	5.79	6.62	5.36	6.61	6.59	4.40	3.65	7.44
ENSSSAG00000000518	ENSSSAT00000001056,ENSSSAT00000001132,ENSSSAT00000001163,ENSSSAT00000001175,ENSSSAT00000001179,ENSSSAT00000001199,ENSSSAT00000001207,ENSSSAT00000001212,ENSSSAT00000001218	18.45	23.34	18.69	13.88	16.79	15.48	18.47	19.17	16.68	23.35	19.78	34.68
ENSSSAG00000000519	ENSSSAT00000000946,ENSSSAT00000000955,ENSSSAT00000160468,ENSSSAT00000178340	5.94	5.11	5.82	5.74	5.87	7.94	7.87	7.18	7.10	4.98	10.17	6.34
ENSSSAG00000000522	ENSSSAT00000000971	9.79	24.99	19.79	17.67	20.48	12.36	22.31	24.93	15.12	23.78	19.46	12.38
ENSSSAG00000000524	ENSSSAT00000000959,ENSSSAT00000000985,ENSSSAT00000159915,ENSSSAT00000203980	2.17	3.14	3.37	3.29	3.60	1.80	3.50	3.50	3.81	3.74	3.47	3.31
ENSSSAG00000000525	ENSSSAT00000000984,ENSSSAT00000001004,ENSSSAT00000011125,ENSSSAT00000011180	19.73	22.64	24.24	23.13	22.72	23.93	20.38	27.66	26.97	20.38	23.48	21.62
ENSSSAG00000000526	ENSSSAT00000000954	1.77	2.21	1.56	0.84	0.79	1.16	1.33	0.87	1.26	1.78	1.12	2.72
ENSSSAG00000000527	ENSSSAT00000000962,ENSSSAT00000159736,ENSSSAT00000196168,ENSSSAT00000229976	0.34	0.09	0.18	0.19	0.93	0.26	0.06	0.53	0.51	0.27	0.72	0.09
ENSSSAG00000000529	ENSSSAT00000000964	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000000530	ENSSSAT00000000530,ENSSSAT00000000977,ENSSSAT00000216428	0.00	0.22	0.00	0.20	0.00	0.00	0.00	0.07	0.17	0.05	0.00	0.12
ENSSSAG00000000532	ENSSSAT00000000968	4.24	5.05	5.03	4.20	5.14	3.58	6.04	6.39	4.98	3.20	3.65	2.23
ENSSSAG00000000533	ENSSSAT00000001707,ENSSSAT00000001739,ENSSSAT00000001769,ENSSSAT00000001828,ENSSSAT00000001845,ENSSSAT00000001874,ENSSSAT00000001878,ENSSSAT00000152224,ENSSSAT00000200864,ENSSSAT00000212033	1.42	0.97	0.82	0.82	1.23	0.77	0.92	0.93	1.79	0.75	0.58	0.78
ENSSSAG00000000534	ENSSSAT00000000975	44.93	52.16	51.26	43.99	50.56	40.40	61.61	64.42	75.10	48.48	42.22	51.44
ENSSSAG00000000536	ENSSSAT00000000986,ENSSSAT00000000990,ENSSSAT00000000998,ENSSSAT00000001002,ENSSSAT00000001022,ENSSSAT00000001051,ENSSSAT00000001060,ENSSSAT00000090947,ENSSSAT00000091015	2.59	3.47	3.34	3.25	3.36	3.43	4.19	4.35	3.74	3.64	3.38	3.22
ENSSSAG00000000541	ENSSSAT00000000993	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000000543	ENSSSAT00000000997	0.23	0.57	0.47	0.12	0.24	0.47	0.59	0.92	0.33	0.65	0.29	0.12
ENSSSAG00000000544	ENSSSAT00000001034,ENSSSAT00000156978	3.01	2.80	3.59	1.75	2.08	4.50	1.81	1.92	3.59	0.99	2.38	2.98
ENSSSAG00000000545	ENSSSAT00000001005,ENSSSAT00000234492	5.47	6.19	6.14	3.39	3.91	4.49	3.44	4.70	2.69	4.63	4.28	6.59
ENSSSAG00000000550	ENSSSAT00000001015	11.61	14.41	16.66	15.72	14.73	13.33	10.15	14.40	13.86	14.94	12.45	14.44
ENSSSAG00000000551	ENSSSAT00000001011,ENSSSAT00000187485	0.06	0.00	0.03	0.06	0.00	0.03	0.00	0.03	0.09	0.00	0.00	0.00
ENSSSAG00000000553	ENSSSAT00000001017,ENSSSAT00000001028,ENSSSAT00000182043,ENSSSAT00000186937,ENSSSAT00000189607,ENSSSAT00000193313,ENSSSAT00000229036	14.49	13.15	17.02	11.93	13.68	15.19	12.79	15.78	13.75	12.85	10.60	12.53
ENSSSAG00000000555	ENSSSAT00000001021	19.01	23.10	16.74	15.23	16.49	15.92	15.31	13.46	20.85	15.03	15.92	12.39
ENSSSAG00000000556	ENSSSAT00000001024,ENSSSAT00000001046,ENSSSAT00000195689,ENSSSAT00000241679	399.80	454.02	321.52	341.11	321.19	333.65	414.66	443.40	401.51	417.92	344.98	433.97
ENSSSAG00000000557	ENSSSAT00000001019,ENSSSAT00000001031,ENSSSAT00000147710	0.00	0.00	0.00	0.00	0.00	0.00	0.36	0.08	0.24	0.40	0.00	0.08
ENSSSAG00000000558	ENSSSAT00000001027,ENSSSAT00000001037,ENSSSAT00000001047,ENSSSAT00000219965	5.50	4.47	4.74	3.85	3.45	2.26	4.51	3.93	4.60	5.78	3.80	3.54
ENSSSAG00000000562	ENSSSAT00000001035	1.26	1.81	1.98	0.67	1.68	0.71	0.59	0.31	0.77	2.03	1.37	0.69
ENSSSAG00000000564	ENSSSAT00000001074,ENSSSAT00000001079,ENSSSAT00000001084,ENSSSAT00000173237,ENSSSAT00000206268	50.43	60.33	55.37	48.77	46.01	52.34	57.60	49.72	50.39	43.96	54.76	41.80
ENSSSAG00000000566	ENSSSAT00000001041	0.96	0.40	0.94	1.03	1.26	0.64	0.85	1.06	1.06	0.68	0.61	0.53
ENSSSAG00000000569	ENSSSAT00000001058,ENSSSAT00000001071	22.03	19.82	27.15	20.03	20.79	24.08	22.90	23.27	25.82	24.59	21.98	24.53
ENSSSAG00000000570	ENSSSAT00000001048,ENSSSAT00000230336	3.83	5.12	4.38	4.12	4.93	3.90	4.36	5.02	5.49	3.63	4.13	3.85
ENSSSAG00000000571	ENSSSAT00000001059,ENSSSAT00000001069	3.92	4.73	7.70	5.80	4.52	5.21	4.37	5.47	8.07	5.00	2.79	4.59
ENSSSAG00000000576	ENSSSAT00000001055,ENSSSAT00000222025	0.61	0.78	0.51	0.45	0.41	0.39	1.13	0.78	0.51	0.58	0.72	1.61
ENSSSAG00000000580	ENSSSAT00000001075,ENSSSAT00000166964	0.26	0.15	0.83	0.38	0.82	0.68	0.42	0.41	0.77	0.87	0.70	0.38
ENSSSAG00000000581	ENSSSAT00000001072,ENSSSAT00000239756	8.94	6.01	11.49	8.63	5.24	9.21	5.54	7.58	6.61	7.16	6.02	10.43
ENSSSAG00000000582	ENSSSAT00000001220,ENSSSAT00000001242,ENSSSAT00000001279,ENSSSAT00000001325,ENSSSAT00000001344,ENSSSAT00000001361,ENSSSAT00000001394	5.99	5.07	5.51	3.20	5.33	3.09	4.32	3.83	5.29	4.51	4.57	5.08
ENSSSAG00000000589	ENSSSAT00000001087,ENSSSAT00000219492	0.16	0.37	0.09	0.25	0.17	0.16	0.25	0.49	0.37	0.58	0.11	0.66
ENSSSAG00000000590	ENSSSAT00000001091,ENSSSAT00000173036,ENSSSAT00000235451,ENSSSAT00000250834	2.24	3.32	4.33	4.34	3.37	2.78	4.43	4.17	3.51	3.20	3.23	2.88
ENSSSAG00000000591	ENSSSAT00000001119,ENSSSAT00000001130,ENSSSAT00000001136,ENSSSAT00000212491	0.07	0.51	0.81	0.36	0.28	0.08	2.76	0.07	0.75	0.29	0.11	0.00
ENSSSAG00000000593	ENSSSAT00000001092,ENSSSAT00000166866,ENSSSAT00000249089	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.04	0.00	0.00	0.00	0.00
ENSSSAG00000000594	ENSSSAT00000001093	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.30	0.00	0.00	0.08	0.00
ENSSSAG00000000595	ENSSSAT00000001095	29.47	52.45	48.62	35.02	22.23	51.69	64.61	31.16	66.14	24.94	69.84	27.97
ENSSSAG00000000598	ENSSSAT00000001105,ENSSSAT00000001108,ENSSSAT00000001118,ENSSSAT00000011091,ENSSSAT00000212393	0.58	0.51	0.00	0.73	0.16	0.15	0.83	0.00	0.00	0.46	0.00	0.00
ENSSSAG00000000600	ENSSSAT00000001109,ENSSSAT00000001117,ENSSSAT00000087596,ENSSSAT00000150980,ENSSSAT00000151179,ENSSSAT00000167183,ENSSSAT00000196651,ENSSSAT00000228035,ENSSSAT00000251333,ENSSSAT00000252814	0.24	0.00	0.10	0.00	0.00	0.03	0.00	0.17	0.00	0.00	0.00	0.00
ENSSSAG00000000602	ENSSSAT00000001271,ENSSSAT00000001289,ENSSSAT00000001322,ENSSSAT00000001326,ENSSSAT00000001334,ENSSSAT00000001346,ENSSSAT00000001354,ENSSSAT00000064154	12.10	15.54	14.38	14.90	15.70	14.52	13.25	16.22	10.84	10.78	15.92	14.51
